headline,clickbait
australian pm serve full term elected,0
pakistan turkey train service launched,0
tibetan tell tale escape china,0
chinese city consumer spending free,0
"ca n't stop laughing tweet , come laugh",1
"mother god , look next film",1
12 insanely easy ways adult dreams,1
china launches major operation oil spill,0
academy award winning film director paul leaves scientology,0
g venture toyota california plant,0
win danish squash championship,0
show us tattoo,1
26 times p k hat trick heart,1
santana fire,0
pro demonstrations spread across,0
heartbreaking video uses signing impact climate change,1
new every friends fan 's dream come true,1
took wildly different pictures one guy,1
dudes put makeup moving car finally understand,1
know gif,1
tour de france yellow jersey withdrawn,0
mother leader stabbed,0
study raises health concerns shower,0
17 people really fucking blew,1
turning public advice budget,0
"photos snow , , mashed potatoes",1
pope gets tube nose,0
scottish budget rejected,0
bernanke defends role merrill sale,0
famous vampire date based zodiac sign,1
,0
new zealand government electoral finance act,0
obama spot benefit gay couples,0
"20 times bones got way , way real",1
"green light , wal mart",0
"least 89 dead , thailand air crash",0
"asbestos scare shuts mail delivery , new zealand",0
smoking weed,1
design held back data \?,0
battles reform plan lie ahead,0
"dear guys , please immediately stop using cell phones",1
's best yahoo answers question 've ever seen,1
star wars special effects changes,1
", non rock star , needs",0
30 killed baghdad restaurant bombing,0
28 photos prove 're living possible,1
japan announces moon program,0
19 delicious ways eat candy corn fall,1
north korea warns nuclear action,0
airport program killed,0
24 women plus size means,1
drake low key one direction stan,1
10 amazing mandatory eating fall,1
world summit information society ends tunisia,0
sorry gilmore kind worst,1
5 charts make feel terrible bond girls,1
deaths south african december 2005,0
adorable animals advent calendar december 10,1
vettel wins 2009 japanese grand prix,0
25 funniest tweets 2015 grown ass adult,1
sea learned use got,1
people answer questions,1
cyprus charge five 2005 plane crash killed 121,0
craziest thing 've seen,1
presidential comes early time,0
nails creepiest trend come 2015,1
british airways posts worst annual results two decades,0
13 insanely easy three ingredient desserts,1
's ultimate playlist get stages breakup,1
jailed 8 6 million theft,0
15 freshers' week horror stories,1
new canadian movie hilariously honest,1
"science , democracy",0
famous dancer based zodiac sign,1
well remember halloween party episode friends,1
wikimedia announces yahoo ! support,0
downturn,0
harry potter characters instagram '90s,1
22 brutally honest confessions bra,1
everyone suffers dramatic window disorder,1
21 desserts delicious colorful,1
atomic agency fails choose new head first,0
completely f makeup,1
cuts us airport security personnel,0
28 memes pretty much sum life 2015,1
bloggers rumors us secret war iran syria,0
osama bin laden warns european union new tape,0
zimbabwe projects 15 average growth next five years,0
16 things people wish would stop,1
11 gender things already happened india 2015,1
17 songs make workout af,1
"anderson , former baseball manager detroit tigers , , dead 76",0
"airlines , already suffering , brace woes",0
's present like actual adult,1
india ceo faces sexual harassment threats bull sport,1
markets gains day,0
four die papua new guinea plane crash,0
27 actually good ideas,1
post back team,0
chilean earthquakes region,0
8 animals totally little gay,1
hurricane makes second landfall category 1 storm,0
need talk forever 21,1
plans buy bankrupt resort,0
"coaches , recruiting top players dark side",0
australia 's governor general cuts trip short election,0
australian government considers fuel supplies,0
17 videos prove kids basically drunk adults,1
tax proposals draw critics talks financing health insurance,0
al releases new tape,0
conditions hold stricker sets 36 hole record,0
dell recalls laptop,0
33 everyday words hilariously double,1
falcon 1 rocket fails third launch attempt,0
meet girl,1
plan kill lions protect deer,0
apple said talks sell iphone verizon,0
15 things never knew cast pretty little liars,1
uk opposition leader david cameron 's stolen,0
19 things super polite people get,1
halloweentown creature,1
19 tweets celebrities make laugh every time,1
"study therapy good , longer",0
satellite radio approved canada,0
please stop saying literally,1
u envoy reaches iran afghan visit,0
claims sony network hack,0
iraqi parliament approves election law,0
hogwarts students mean girls characters,1
people got pretty gross,1
michael moore 's controversial new documentary opens,0
becomes president republic china,0
15 times paris geller brutally honest,1
video games,1
name last 15 world series champions,1
"ncaa football usc banned bowl games two seasons , wins",0
next big film premiere living room,0
20 pictures way real addict,1
21 projects get winter,1
"shuttle , astronauts number 13 station",0
71 thoughts get stupid excited seeing cool dog,1
17 moments kids moved around lot know well,1
dozen killed suicide bombing iran,0
uk police birmingham city centre,0
"one , many types cells \?",0
make simple yes quiz movie quotes,1
"sotomayor would sixth catholic justice , ends",0
know female disney character based zodiac,1
double bombing pakistani city leaves least 22 dead,0
al qaeda brought destruction heart,0
wal mart accused workers rights violations,0
"continues investigation near collision pennsylvania , united states",0
new rules doctors medical firms amid ethics concerns,0
u retains control internet,0
victory old school style,0
farm exports fall sharply global recession,0
20 times criminal minds best person twitter,1
17 reasons tina belcher best role model young girls,1
22 vines prove kids worse,1
call drake cell phone,1
women say using lip,1
london bombing death toll rises,0
21 wedding photos 'll want immediately,1
quotes motivational posters,1
know full names office characters,1
last professor dies age 47,0
19 gifs make say,1
spot real disney character fake,1
", instant",0
qantas grounds flights labour dispute,0
's rainbow snapchat filter irl halloween,1
's best 've ever read,1
identify 2016 movie comment youtube trailer,1
well actually match colors,1
14 people accidentally,1
15 set secrets never knew cast scream queens,1
modern technology maps new great wall china,0
religious freedom vs rules,0
white house,0
's stars look like today,1
paul gray found dead hotel room age 38,0
"bomb attack , northern ireland injures two police officers",0
people try snapchat 's new selfie,1
iphone sales blackberry,0
57 vintage photos couples make believe love,1
", harry potter 's ron weasley , h1n1 swine flu virus",0
guess much pizza ate 2015,1
please stop concerts phone,1
stopped running new york,1
take buzzfeed morning person challenge,1
19 told damn truth school,1
22 words different meaning gilmore girls fans,1
ocean race comes close,0
literally bunch shirtless dudes wearing santa hats,1
ca n't fall asleep,1
goldman spent millions bail 2 executives,0
know love life like based single question,1
17 things never say girl 5 foot 9,1
"waiting madoff , angry crowd disappointed",0
wikinews creative commons license,0
new networks safe past,0
local al leader killed eastern yemen,0
22 wonderful halloween costumes actually buy,1
us universities advance andy 's,0
15 things ever said twitter,1
storm violence iraq strains security forces,0
"hey india , n't talk mom like",1
child killed family dog,0
12 jimmy fallon impressions 'll make actually believe someone else,1
pair damn daniel 's shoes,1
"new law help asbestos victoria , australia",0
22 reasons eggs earth,1
artist web rebuke china,0
26 people way worse 2015,1
27 awesome easy bring work,1
kuwait us 500 million katrina relief efforts,0
17 tweets remind us lives used look like facebook,1
canada 's media inc standard radio,0
voters face 6 measures california,0
ali sworn president pakistan,0
wikipedia features main page,0
delayed endeavour carries japanese international space station,0
former iraqi police commander working insurgents,0
indian designer best response wedding dress,1
nato chief presses afghan drug fight,0
launches final satellite,0
19 things saw every single time went grandma 's house,1
"richard , ex chief , loses civil suit",0
funding ahead clean energy,0
know trump rally dance move based one question,1
name move,1
little girl sang 's 's funeral,1
19 purdue caps wild comeback northwestern,0
snl cut last week 's show 's,1
21 times michael scott 's control,1
honduran rivals see u intervention key ending crisis,0
made award would nominated,1
watch woman talk struggle two time survivor child sexual abuse,1
guess many times gigi hadid hair deep love,1
"surgery done , alex rodriguez begin immediately",0
kid caught crowd ski lift,1
9 really important things every black woman know edges,1
us troops philippines resume activities,0
authorities search home owner german wikileaks domain,0
12 struggles everyone common last name relate,1
f former navy site,0
everyone freak spice girls planning reunion tour,1
happens dude low key bachelor,1
pop diva alter,1
know actor marry based favorite ya book series,1
tried play robert de 's,1
owner dies fall aged 62,0
27 books coming 2016,1
government study warns climate change effects,0
jailed murdering children uk,0
soup salad,1
air time,0
deaths turkey,0
bank japan steps effort ease credit,0
iraq 's un envoy accuses u marines,0
nation holds hopes vote,0
dad actually,1
someone 's,1
wikipedia publishes 10 article,0
one tweet captures chennai 's spirit,1
reports loss,0
21 concerns australians american food,1
23 women television need watching,1
bomb discovered toilet iranian plane safely,0
first celebrity boyfriend,1
four earthquakes hit philippines quick,0
tennis player bff based zodiac sign,1
north queensland sign former liverpool great,0
jailed american journalist iran sentenced eight years prison,0
23 things parents said wildly,1
's 's like ca n't ears,1
mexican politician killed gunmen,0
"minnesota , battle without end senate seat",0
america still lot love traveling pants sisters,1
snapchats morning person non morning person would exchange,1
rescue underway teen solo sailor,0
france confirms deportation illegal afghan immigrants,0
canada announces 9 billion plan purchase 65 f 35 fighters,0
guess zodiac sign based favorite gift,1
feel period sex,1
"third runway approved heathrow , critics",0
fire road tunnel italy france,0
cnn prepares fresh team medical experts,0
"english football manchester united news august 6 , 2008",0
scientists discover new species bat 's actually collection since,1
google introduces button,0
29 gifts anyone major,1
inquiry iraq focuses u officers,0
pictures fuller house set make extremely nostalgic,1
"u , iraq ties french",0
"gunmen kill seventeen drug centre , mexico",0
26 cats working towards destruction patriarchy,1
anti song based zodiac sign,1
tell force awakens character 're based taste music,1
19 things people living depression want know,1
15 music videos helped discover totally girls,1
bunch lay talked ideal funeral,1
go adventure ron weasley,1
lance armstrong shares tour de france director,0
anne hathaway ca n't win,1
us federal judge dismisses killing lawsuit,0
"ferry capsizes bangladesh , least five dead 50 missing",0
president flees kazakhstan,0
tell us best valentine 's day gift 've ever received,1
adorable animals advent calendar december 17,1
well actually remember halloweentown,1
look like harry potter,1
played hilarious game badu n't badu,1
williams husband met bachelor party,1
1989 taylor swift costume wear halloween,1
disney princesses make cry,1
make 27 hilarious photos michael scott saying absolute wrong thing without laughing,1
know favorite '90s movie based first letter name,1
illinois man named person interest wife 's disappearance,0
channing tatum lip let go everything 'd expect,1
child virus outbreak reaches beijing,0
miley iconic looks matches zodiac sign,1
13 cocktails 'll santa 's,1
kenyan town strikes back members street gang,0
17 reasons right thing date,1
"evolution tim , pitcher",0
doping investigators,0
robbery suspect flees riding,0
faith hill responded tim 's marriage proposal adorable way possible,1
houston uk debut tv show,0
french author wins 2008 nobel prize literature,0
21 super make want right,1
critics british police tactics g 20 summit meeting,0
19 fabulous hacks make shoes look fit perfectly every time,1
82 things every couple thinks house first time,1
know difference mary kate ashley,1
eat healthier without even,1
dog kept watch trapped best friend week help arrived,1
help wanted must sit fancy stadium seats,0
disney characters looked accurate fairy,1
guess one direction song single lyric,1
qatar,0
israeli pm step september,0
calvin harris shared shirtless cycling snapchat,1
administration seeks increase oversight executive pay,0
19 celtic names beautiful 'll want children,1
exclusive report new zealand 's digital tv service,0
anne hathaway comes jennifer lawrence 's defense phone incident,1
us president george bush discusses,0
"every office relationship , ranked",1
19 things fall boy fans understand,1
word day thanks queen amy poehler,1
29 signs 're '90s '00s kid,1
"police one week question terror suspect caught bristol , uk",0
need talk upon time,1
"louisiana , study says",0
south australian father daughter sexual relationship,0
journalists deported fiji,0
8 struggles new yorker l,1
grey red blue,1
heart attack celtics say may miss playoffs,0
new beta version msn search service microsoft released,0
17 easy ways makeup n't know wtf 're,1
disney holiday film watch weekend,1
rocky coolest instagram 've ever seen,1
found wing space shuttle endeavour,0
us marine charged rape japanese girl,0
13 lesbian sorority confessions,1
new review could uk 's plans,0
senator challenges president bush,0
tell 's poem actually,1
britney spears continues perform wardrobe,1
report program released,0
lenders challenge delphi plan exit bankruptcy,0
man buys stolen camera ebay,0
producers accused copyright violations,0
biden outlines plans less power,0
13 small victories anyone going home holidays,1
", rove , cooper",0
growing taste fish sends numbers,0
least 21 killed polish blaze,0
prosecutors look reclaim madoff assets,0
eight killed flooding fiji,0
"paul rudd , seth rogen , amy schumer one hilarious super bowl commercial",1
british student falls death floor window,0
17 things maybe going kill 2015,1
guess eye color three questions,1
john mccain denies romantic relationship lobbyist,0
21 things prove nice guys absolute worst,1
22 times proved woman earth,1
racist came halloween party,1
"seeking election , job",0
", toxic site also provides",0
first time someone asked julia roberts toilet,1
zac efron random girl 30 seconds romantic thing ever,1
study estimates first human hiv 100 years ago,0
n f l player representatives face big vote union chief,0
's dog injured baby deer became best friends,1
another los angeles times promotion draws fire,0
new korean american dude,1
taylor swift track personal theme song,1
9 halloween costumes n't actually require costume,1
"1 7 freed detainees said militant fighters , pentagon report says",0
27 ya novels 'll make thirsty af,1
21 awesome '80s girls toys worth small fortune,1
18 questions watching star wars force awakens,1
"renault f1 's team boss , top quit team accepts cheating claim",0
single people confess deepest romantic,1
babies grew went high school,1
"afc asian cup lights fail korea draw saudi arabia , iran defeat",0
disney quote lines,1
demi lovato modeling contract models,1
clarke jason cutest game thrones reunion paris fashion week,1
26 things 'll understand 're oldest child,1
percent night,1
17 beer around world n't,1
north korea test missile could reach u,0
l b investigators seek meeting rodriguez,0
army madagascar amid crisis,0
15 reasons canadians actually happy 's fall,1
15 photos prove reese witherspoon winning breakfast,1
kind person really,1
36 times tv blessed us man candy 2015,1
people got tested see actual pretty surprised,1
sisters tell worst fight stories,1
investors moves fed,0
"sony restructuring plan 10 , 000 job cuts",0
pie matches zodiac sign,1
zodiac date based favourite game thrones house,1
15 mouthwatering recipes try 2016,1
terrifying holiday movie n't know needed,1
ncaa 2010 ice hockey east west regional tournament results,0
religious broadcaster pat robertson calls assassination venezuela 's president,0
sweden aids bailout nations,0
everyone fell love niall horan 2015,1
best tips managing adhd work,1
well know lyrics 5 seconds summer 's songs,1
un tsunami aid effort,0
"white farmer beat mugabe court land , dies",0
wins golden lion lifetime achievement,0
"7 essays read finding feminism , loss , brain surgery",1
ca inc profit beats estimates,0
's everything shape says,1
"sun , sees software",0
many american women want sex,0
man uk convicted dog,0
15 ways relate winter,1
7 2 magnitude earthquake strikes islands,0
rocky mountain news closing denver,0
"pastor florida church cancels plans burn qur'an , later",0
still underground economy economy,0
kendall jenner officially victoria 's secret model,1
ian rejects nomination,0
17 things plus size women ca n't possibly,1
militants present evidence killings,0
much dick,1
21 best ladies suits moments 2015,1
health respond outbreak democratic republic congo,0
worst cooking fail,1
female '90s tv character total role model,1
22 signs suffer terrible case shade face,1
u isolated opposition cultural diversity treaty,0
"philippine fireworks factory explosion kills least 8 , injures 70",0
guy created photos late wife young daughter,1
bill ease rules development,0
"another , capitals force rangers game 6",0
profiles nightmares evil,1
8 ways eat way diwali week,1
18 photos way real makeup artists,1
type candle light right,1
new plan help second mortgages,0
german retailer expected buy firm,0
27 things need know andy,1
"fans stay late , andy murray stays alive wimbledon",0
9 times michael scott knew exactly feel adulthood,1
instagram account 2015 's greatest hits,1
comedian colin host canadian game show,0
computer science programs make comeback,0
jennifer lawrence nervous first sex scene got drunk,1
17 things need know cutting lose weight,1
major doctor character based zodiac sign,1
house democrats release details tax plan,0
j simpson arrested assault charges,0
stay dry golf course following family,0
u concedes afghan attack killed civilians,0
"forum , russia china economic crisis",0
scientology ties new village leadership academy controversy smith smith,0
many 100 civilians die afghan raid,0
canadian scientists protest harper 's attacks science,0
"i'm , i'm",1
canadian star gives birth twin boys,0
guess celebrities tweeted holiday themed tweets,1
france first ban,0
19 things true carb lovers understand,1
10 italian dishes would proud,1
obama retain parts military commission system,0
judge allows madoff remain free bail,0
"thousands protest constitutional square , egypt",0
u soldier 11 iraqis die attacks,0
rugrats character based zodiac,1
meet alice wonderland 's daughter disney 's world,1
"job pays 100 , 000",0
joint action needed world economy,0
7 british accused murder begin trial,0
g sues government return million tax payments,0
gorgeous set photos upcoming film legendary trans activist p johnson,1
judge court warns media cover case,0
terms reached honduras dispute,0
24 cats n't give fuck feelings,1
15 halloween snacks guaranteed gross guests,1
karzai takes office first elected president afghanistan,0
11 times selena gomez 's hands video made question,1
ryan comes amy schumer scene,1
orders russian government relations georgia,0
recession takes toll direct mail ads,0
vettel becomes formula one champion,0
pick right pizza,1
would rather game home alone almost hard,1
24 pictures make want live planet,1
u expected emerge canada,0
group badass women killed game,1
18 charts speak anyone 's whole healthy thing,1
local council australia rejects mcdonald 's development plan,0
guess movie single screencap,1
bake chocolate peanut butter cookies look like,1
17 photos 'll weirdly enjoy,1
"giants pack , issues",0
nobel prize awarded light,0
south african prosecutors may drop fraud charges n c leader jacob,0
wikinews interviews open source opera,0
serbian parliament members accuse anti serbian campaign,0
18 breathtaking mexican treats make drool,1
nevada supreme court sends onion dog case back las vegas court,0
new pop singer,1
meet pumpkin raccoon,1
23 absolute nightmares makeup lovers experienced point,1
22 times tumblr accurately summed lesbian dating,1
instagram people putting objects make cringe,1
ultimate scream queens drinking game,1
12 late night sex line ads made still,1
security firm united states world 's top country,0
need talk emily blunt huntsman,1
u names german close,0
kim kardashian 's amazing,1
well see color,1
42 things thought american horror story hotel episode 7,1
test determine 're actually western,1
54 killed suicide bomber gas station,0
forest fires burn greece death toll nears 50,0
keep panic attacks ruining life,1
actor television host gary collins dies aged 74,0
"ryanair sue associated newspapers , mirror group",0
justin timberlake jimmy fallon,1
know hate harry potter movie,1
german manufacturer man bribery investigation,0
39 things always wanted know harry potter star matthew lewis,1
new original song,1
32 hilarious tweets cats,1
good short term memory,1
judge allows student sue school sexuality,0
cara delevingne accused indie brand 's shirt,1
need talk guys wearing basketball shorts,1
"know , jose got home slaying texas rangers",1
"blessed life , 's voice reason",1
michael jackson 's postponed,0
general military guantanamo investigated abuse power,0
sunshine coast rugby union round 19 coast score three tries twenty minutes loss university,0
starbucks cups actually,1
ivy smash,1
andy committed full beard,1
"putting country first , career jeopardy",0
us economic growth slows 2 4,0
rocket strike near hotel afghan capital injures four,0
injuries force hughes pull,0
leader escapes singapore prison,0
's funniest spongebob squarepants quote,1
"kentucky derby history along rail , partnership bar",0
17 photos 'll remind world n't bad,1
2004 commonwealth championships,0
label missing girl scout cookies,0
new must handle plane strike,0
show documentary,0
makes hot,1
drinking habits tied,0
"tamil rebels lose ground sri lanka , crisis trapped civilians",0
bobby cat magical duo ever,1
express buys unit 4 7 billion,0
"airliner crashes china , 42 killed",0
25 amazing gifts anyone time,1
18 pop punk holiday songs true emo kids appreciate,1
17 amazing comfort foods guaranteed make drool,1
fake trailer haunted bro movie actually terrifying,1
adele shared gym picture 's relatable thing ever,1
macy 's store new york evacuated due fire,0
henry 's reaction sacked brilliant,1
gunmen kill least six members family iraq,0
new york man pleads guilty new york city subway bomb plot,0
16 men need delete facebook immediately,1
"search survivors canadian helicopter crash ends , recovery mission focuses victims",0
24 incredibly useful iphone apps,1
25 2015 's highest paid musicians according forbes,1
businesses warm led,0
"bomb blast kills 5 policemen , pakistan",0
getting order get confirmed,0
17 tiny things make smile,1
warner brothers plans cut 800 jobs,0
23 words everyone stop saying immediately,1
getting cuts ways wall street,0
15 second video mumbai marathon leave totally,1
watch mariah carey scream 's asked sing,1
18 things back future forgot predict,1
two colors year gender,1
bush conference us troops iraq,0
well remember force awakens,1
try tasty treats super bowl party,1
17 pictures sum life really girl,1
21 things every self guy 30,1
12 things make guys jealous,1
14 texts ride die friends send,1
choice christmas cupcake reveal secret,1
france warns war iran,0
16 honest confessions sexual,1
everyone else give nicki minaj 2015 already,1
miss college,1
's phoebe 's apartment looks like real life,1
death toll rises eleven mountain avalanche,0
new start red sox rocky beginning,0
's best pizza place 've ever eaten u,1
"despite good news , stocks",0
"falters , eastern europe raises risks",0
15 easy things help feel like shit,1
21 times tumblr got really awkward sex,1
20 gifs sum teacher struggles,1
24 things kanye 2005 would never,1
18 ads prove 've come long way 100 years,1
tell taste men based taste pasta,1
ryan reynolds thinks superhero movies sex violence,1
married couple honest discussion relationship real age difference,1
israeli military confirms use white phosphorus bombs gaza strip,0
tell us \( ie \) tone bell,1
17 struggles real anyone grew strict parents,1
falling prices japan feed fears,0
fed chairman bernanke says us recession last,0
relationship told april andy parks rec,1
9 houses look normal outside anything inside,1
19 shots make holiday season,1
happens give week,1
gallinari returns knicks fall,0
group sounds alarm european bee industry,0
scottish judge criticises medical care murdered baby,0
write novel,1
"ireland 's dame street , camps cleared",0
mets send church disabled list,0
atlantis mission offers one last lifeline hubble,0
euro reaches one year low us dollar,0
10 life changing things try november,1
tourists evacuated following shootout mexican army drug,0
three funds found,0
"era , obama vows record research",0
well know lyrics,1
know happen 2016 based favorite tv show,1
"77 names added fallen journalist memorial washington , c",0
obama 's private prayer published israeli newspaper,0
making sims neighbors relate,0
u war protest mom met bush 2004,0
20 shirtless guys man buns make feel things,1
bangladesh hit several bomb explosions,0
14 times blair right everything,1
"semi truck crashes buffalo , new york",0
raid kills 15 somalia,0
authorities arrest 7 state officials mexico centre fire,0
rihanna looks flawless new video work,1
bill murray came buzzfeed gave us damn good life advice,1
rivera earns save 500 yankees earn sweep,0
10 adorable kids way better style,1
george bush meets us,0
alaska gop calls resignation senate,0
"driver dies truck falls onto railway line county , england",0
uefa champions league 2007 08 fear drive celtic,0
miss california usa fired,0
says zimbabwean cholera,0
bush v gore join fight gay marriage ban,0
would lifetime movie called,1
poland made software patent directive stop,0
13 hilariously motivational posters,1
tell us \( ie \) david,1
2013 sunshine coast rugby union grand final,0
memorial service held model found dead missouri mansion,0
people never seen star wars guess character names fail adorably,1
"tsunami toll passes 80 , 000 people relief effort continues",0
favor never play people love,1
22 things 'll get love animals people,1
"charity art spring festival cambridge , massachusetts",0
beijing investigates tourists,0
1 indian 1 indian television 's race,1
ultimate bob dylan trivia quiz,1
32 illustrations anyone thinks women make badass,1
china historic anti law,0
"amid , obama pledges recovery",0
unexpected increase factory orders,0
former u senator dies,0
least 50 killed clashes guinea,0
27 forgotten trends early '00s girls slightly obsessed,1
photos dog dressed 12 different disney characters totally make smile,1
16 words think differently 2016,1
old name,1
"us government reports decline teen birth rate binge drinking , rise poverty drug abuse",0
states cities stimulus cash,0
27 weird things kids asked halloween,1
girl 's secretly hair giving us much life right,1
us senator kennedy brain removed,0
light bulbs poised big change,0
california 's violent video game ban law ruled unconstitutional us court appeals,0
colombian rebel leader surrenders,0
u postal rate increase proposed,0
wikinews interviews daylight saving south east queensland party upcoming queensland state election,0
200 people missing ferry sinks indonesia,0
17 times internet perfectly summed,1
21 comments prove nicki minaj 's instagram fans lost,1
production afghanistan reaches record,0
harper red fly,0
singapore economic forecasts 2009,0
photo shoot pregnant woman model absolutely stunning,1
13 things stop feeling bad right,1
chess play match spain,0
beats rafael nadal sony ericsson open,0
"german , iraqi driver abducted iraq",0
cargo ship arctic sea may found,0
latest citigroup rescue may last,0
know favorite ryan based one question,1
woman files complaint bernie williams,0
"somali pirates seize greek , 25 crew gulf",0
american paul wins nobel prize,0
algerian rebel group claims kidnapping two tunisia,0
turns 250,0
youths banned buying eggs ketchup,0
clinton says u ready lead climate,0
c 17 crashes near air force base alaska,0
lonely luke latest hilarious star wars parody twitter account,1
know favorite pop star based favorite disney movie,1
tiger woods open state mind,0
2013 us swimmer breaks second world record,0
guess need based zodiac sign,1
trans women relationships halloween,1
identify popular video game character single line drawing,1
's instagram account makes fun instagram accounts,1
"best jim pam moments , ranked order",1
's annoying part getting period,1
"uk group liberty , edinburgh city council scientology signs",0
fyi buy stuffed toys favourite indian foods,1
21 experiences better sex people love food,1
large earthquake shakes greece,0
pakistani offensive puts truce ground,0
americans try new canadian lays,1
's actually eating thanksgiving,1
bring,1
often hitting streak,0
"omg , tina fey amy poehler 's movie sisters new",1
16 things see go tim 6,1
southern ocean whale resume,0
senator says affair aide,0
justin timberlake ellen degeneres jimmy fallon lip sync battle ages,1
mary appointed general motors chief,0
jackson said found,0
taraji p henson responded perfectly golden globes speech almost cut short,1
pay g workers fix mess,0
tell us creepiest thing child ever said,1
ship hijacked somali coast pirates,0
world war iii everyone tweeting jokes,1
suspect ponzi scheme surrenders long island,0
becomes watched youtube video ever,0
21 badass things bollywood 2015,1
j finland eurovision 2008,0
's shadow church san francisco looks like,1
8 new types better health,1
's top ten liked instagram posts 2015,1
"officials eight insurgents killed , pakistan",0
"hand , darwin \?",0
's six amazing tricks get wardrobe,1
"magazines , one finds surprising bid",0
8 christmas actually happened canada year,1
chief military claims control fiji,0
guy wrote hamilton also wrote new star wars song,1
wildfires rage north los angeles,0
13 smoking hot men got even hotter,1
report members iranian guard arrested joining 's,0
17 things know trying get bigger butt,1
"wikinews interviews peace activist cindy , 2014 california candidate",0
celebrity first famous bff,1
community television urges australian government increase funding channels,0
"union fedex home drivers , court rules",0
19 inspiring confessions people beat,1
16 times england made feel feelings,1
guess harry potter character would send text,1
whale totally stole show connecticut 's governor press conference,1
"2 games , still patience",0
", posting loss , cites",0
guys hate,1
"nine children abandoned hospital emergency room nebraska , usa",0
29 flower recipes brighten winter,1
defense chief criticizes bid add f,0
justices face business gun laws,0
17 incredibly helpful charts cooking thanksgiving dinner,1
"mayor , london , arrested benefit fraud inquiry",0
steve martin stand dogs 's beautiful,1
teens used actual letters clever way protest school 's sexist dress code,1
heartwarming photo captures moment elderly couple helped young man tie tie,1
"sam 's club cut 11 , 000 jobs",0
european parliament committee backs visa free travel countries,0
21 things happen really massive dog,1
"add nuts diet , snacks",0
tensions russian soldier seeks asylum georgia,0
one direction played never ever got,1
"asian minorities growing , slowly",0
"'s , weirdest way 've failed driving test",1
know disneyland history,1
cardinals reach summit steelers know well,0
house bill would set database,0
road attention,0
14 rare photos 've probably never seen,1
video perfectly captures tragedy hates favorite tv show,1
19 times 's man funniest movie ever,1
china sentences six death riots,0
know 're house based seven questions,1
international pressure military junta withdraw elections,0
21 things new york fall,1
bollywood era belong,1
27 brilliantly irish moments 2015,1
shooting software iphone,0
detroit race,0
two veteran actors soap,0
list things need chill immediately,1
successor,0
fall college vs fall real world,1
taught grandmas nae nae cute af,1
dogs best friends 're internet 's heart,1
17 dogs want back,1
51 suspects named un war crimes darfur,0
"andrew bloggers , ,",0
shape test determine best quality,1
republican senator georgia wins run election,0
sell gas operations italian owner,0
bishops give ground gay marriage,0
british government apologises pope could create brand benedict condoms,0
4 question gilmore girls quiz determine kind coffee drinker,1
priyanka chopra became first south asian actress win people 's choice award,1
new zealand rights world championships 2007,0
28 limited items feeling nostalgic,1
european court kremlin,0
gordon brown lead britain economic crisis,0
classic rock band based,1
israeli court orders controversial wall,0
tea time around world,1
"keeps low profile , fresh start",0
gordon wins 2011 subway fresh fit 500,0
cute baby kangaroo excited treat ca n't handle,1
chicago house race draws crowd,0
southwest air begin flying boston,0
answer one question 'll determine 're really texas,1
protests tehran opposition disputes vote,0
45 thoughts ahs hotel episode 5,1
norway gunman defends,0
festival 2007 takes place poland,0
55 things slightly,1
,1
"syrian naval vessels , ground troops attack port",0
lakers survive slow start take 3 1 series lead,0
know canadian city actually live,1
4 wheel dreams millions drivers india,0
23 things 'll know well 've girls holiday,1
magazines reading 2016,1
another unlikely star powers mets,0
uk new year 's day murder suspect seventh floor window,0
"boeing expects layoffs total 10 , 000 2009",0
21 funny tweets perfectly sum people,1
maryland strikes blow c c,0
pleads guilty three charges,0
bb 8,1
filming flight seed,0
15 things anyone alcohol tired hearing,1
know like shop based celebrity find attractive,1
hurricane texas,0
british tony dies aged 62,0
get first look horror comedy final girls,1
investors seeing silver,0
"somali piracy kenyan navy kills three , chinese ship hijacked , british couple freed",0
hundred thousands march rome demand freedom kidnapped reporter,0
literally 46 photos scotland looking sexy hell,1
women pranked awful makeovers hilarious,1
two pictures perfectly sum 's wrong indian beauty standards,1
crash iraq kills 4 u soldiers,0
23 times anna kendrick coolest person instagram,1
microsoft anti virus product,0
sailor finishes ocean race 121 days sea,0
nearly three million cigarettes seized canadian u authorities,0
makes fun mets,0
15 times calvin never stop,1
anyone secret orphan black,1
del take scary stories tell dark,1
try get angry 2015 nail polish names,1
try guys try k pop idol makeup,1
bet ca n't solve basic problems,1
kansas holds upset,0
oldest living european person reaches age,0
earth lived dream,0
"fda black box , pulls market",0
"plans 500 , 000 children",0
35 important questions need answer right,1
"two die school bus accident missouri , several others injured",0
medvedev becomes russian president elect,0
intensely long island,1
job would,1
71 lyrics make perfect instagram captions,1
76 things 'll know three years university,1
australian labor party announces new climate change policy,0
"israel launches airstrikes gaza strip , kills hamas commander",0
break large bills,0
found well cast zoolander 2 really know,1
police may killed eight tourist victims philippines hostage crisis,0
taylor swift calvin harris officially building couple,1
iceland 's coalition government falls economic crisis,0
withdraws us secretary nominee,0
obama looks history economic message,0
\( probably \) biggest parenting trends 2016,1
"duke virginia advance , final four field",0
20 great ideas ended worst possible way,1
"suffers seizure , collapses red wings game",0
michael b jordan got laid fuck filming,1
"rhode island , tall ship help economy",0
remember obscure '00s boy,1
baseball denies charge book,0
's girlfriend 's period wants know,1
